Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
1887,,,,1972,,,,,Marianne Moore,<h3>A timeline of her life and works.</h3><p>Publications listed by first appearance of a work only.</p>,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Marianne_Moore_1948_hires.jpg/440px-Marianne_Moore_1948_hires.jpg,Photograph by Carl Van Vechten (1948),https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Marianne_Moore_1948_hires.jpg/440px-Marianne_Moore_1948_hires.jpg,title,,#3289C7
1887,11,15,,,,,,,Marianne Craig Moore Born,,,,,,,,#3289C7
1896,,,,,,,,,"Moves to Carlisle, Pennsylvania",,,,,,,,#3289C7
1905,8,,,,,,,,Enters Bryn Mawr College,,,,,,,,#3289C7
1907,2,,,,,,,,Under a Patched Sail ,"<i>Tipyn O'Bob 4</i>, p. 12
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 331",,,,,,,
1907,2,,,,,,,,To Come after a Sonnet,"<i>Tipyn O'Bob 4</i>, p. 25
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 332",,,,,,,
1908,4,,,,,,,,To My Cup-Bearer,"<i>Tipyn O'Bob 5</i>, p. 21
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 333",,,,,,,
1908,4,,,,,,,,The Sentimentalist,"<i>Tipyn O'Bob 5</i>, p. 26
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 334",,,,,,,
1909,1,,,,,,,,To a Screen-Maker,"<i>Tipyn O'Bob 6</i>, p. 2-3
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 335",,,,,,,
1909,,,,,,,,,First recorded trip to New York,,,,,,,,#3289C7
1909,3,,,,,,,,Ennui,"<i>Tipyn O'Bob 6</i>, p. 7
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 339",,,,,,,
1909,5,,,,,,,,A Red Flower,"<i>Tipyn O'Bob 6</i>, p. 14
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 341",,,,,,,
1909,,,,,,,,,Gradutes from Bryn Mawr College,,,,,,,,#3289C7
1909,,,,,,,,Spring,A Jelly-Fish,"<i>The Lantern 17</i>, p. 110
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 342",,,,,,,
1909,6,,,,,,,,Progress,"<i>Tipyn O'Bob 6</i>, p. 10
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 343</i>",,,,,,,
1910,,,,,,,,Spring,My Lantern,"<i>The Lantern 18</i>, p. 28
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 344</i>",,,,,,,
1910,,,,,,,,Spring,Tunica Pallio Proprior,"<i>The Lantern 18</i>, p. 102
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 345</i>",,,,,,,
1910,,,,,,,,Spring,My Senses Do Not Deceive Me,"<i>The Lantern 18</i>, p. 103
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 346",,,,,,,
1910,,,,,,,,Spring,"Qui S'Excuse, S'Accuse","<i>The Lantern 18</i>, p. 103
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 346",,,,,,,
1911,,,,1914,,,,,"Teaches business, English, and math at 
the Carlisle Indian School",,,,,,,,#3289C7
1912,,,,,,,,Spring,A Talisman,"<i>The Lantern 20</i>, p. 61
</i><br/><br/>Other appearances: <i> Observations</i> (1924), p. 12
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 171
",,,,,,,
1912,,,,,,,,Spring,Leaves of a Magazine,"<i>The Lantern 20</i>, p. 10
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 347",,,,,,,
1913,,,,,,,,Spring,The Beast of Burden,"<i>The Lantern 21</i>, p. 57
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 348",,,,,,,
1913,,,,,,,,Spring,Councell to a Bachelor,"<i>The Lantern 21</i>, p.106
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 349",,,,,,,
1913,,,,,,,,Spring,Things Are What They Seem,"<i>The Lantern 21</i>, p. 109
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 351",,,,,,,
1915,,,,,,,,,Begins publishing poems in little magazines.,,,,,,,,#3289C7
1915,4,1,,,,,,,To a Man Working His Way through the Crowd,"<i>The Egoist 4.2</i>, p. 62
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 352",,,,,,,
1915,4,1,,,,,,,"To the Soul of ""Progress"" ","<i>The Egoist 4.2</i>, p. 62
</i><br/><br/>Other appearances: <i> Observations </i>(1924) as ""To Military Progress,"" p. 19
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 188
",,,,,,,
1915,5,,,,,,,,That Harp You Play So Well,"<i>Poetry 6.2</i>, p. 70
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 355",http://library.brown.edu/jpegs/1201884901609375.jpg,,"<a href=""http://modjourn.org/render.php?id=1201884772640625&view=mjp_object"">View full-size image on Modernist Journals Project</a>",,,,
1915,5,,,,,,,,To an Intra-Mural Rat,"<i>Poetry 6.2</i>, p. 71
</i><br/><br/>Other appearances: <i> Observations</i> (1924), p. 9
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 165
",http://library.brown.edu/jpegs/1201884906406250.jpg,,"<a href=""http://modjourn.org/render.php?id=1201884772640625&view=mjp_object"">View full-size image on Modernist Journals Project</a>",,,,
1915,5,,,,,,,,Appellate Jurisdiction,"<i>Poetry 6.2</i>, p. 71
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 355",http://library.brown.edu/jpegs/1201884906406250.jpg,,"<a href=""http://modjourn.org/render.php?id=1201884772640625&view=mjp_object"">View full-size image on Modernist Journals Project</a>",,,,
1915,5,,,,,,,,The Wizard in Words,"<i>Poetry 6.2</i>, p. 72
</i><br/><br/>Other appearances: <i> Observations </i>(1924) as ""Reticence and Volubility</i>,"" p. 10
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 167
",http://library.brown.edu/jpegs/120188491115625.jpg,,"<a href=""http://modjourn.org/render.php?id=1201884772640625&view=mjp_object"">View full-size image on Modernist Journals Project</a>",,,,
1915,5,1,,,,,,,To William Butler Yeats on Tagore,"<i>The Egoist 5.2</i>, p. 77
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 357",http://library.brown.edu/jpegs/130693631993757.jpg,,"<a href=""http://modjourn.org/render.php?id=1306936031578127&view=mjp_object"">View full-size image on Modernist Journals Project</a>",,,,
1915,,,,,,,,Spring,"The North Wind to a Dutiful Beast Midway 
between the Dial and the Foot of a Garden Clock","<i>The Lantern 23</i>, p. 17
</i><br/><br/><br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 359",,,,,,,
1915,,,,,,,,Spring,"Isaiah, Jeremiah, Ezekial, Daniel","<i>The Lantern 23</i>, p. 60<br/><br/>
Source: <i>Becoming Marianne Moore</i>, p. 360",,,,,,,
1915,,,,,,,,Spring,To Disraeli on Conservatism,"<i>The Lantern 23</i>, p. 60
</i><br/><br/>Other appearances: <i> Observations </i>(1924)
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 181
",,,,,,,
1915,8,2,,,,,,,To Browning,"<i>The Egoist 8.2</i>, p. 126
</i><br/><br/>Other appearances: <i> Observations</i> (1924)
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 174
",http://library.brown.edu/jpegs/130693750315632.jpg,,"<a href=""http://modjourn.org/render.php?id=1306937287281252&view=mjp_object"">View full-size image on Modernist Journals Project</a>",,,,
1915,8,2,,,,,,,To Bernard Shaw: A Prize Bird,"<i>The Egoist 8.2</i>, p. 126
</i><br/><br/>Other appearances: <i> Observations </i>(1924)
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 174
",http://library.brown.edu/jpegs/130693750315632.jpg,,"<a href=""http://modjourn.org/render.php?id=1306937287281252&view=mjp_object"">View full-size image on Modernist Journals Project</a>",,,,
1915,10,1,,,,,,,Diligence Is to Magic as Progress Is to Flight,"<i>The Egoist 10.2</i>, p. 158
</i><br/><br/>Other appearances: <i> Observations</i> (1924)
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 190
",http://library.brown.edu/jpegs/1306938275468757.jpg,,"<a href=""http://modjourn.org/render.php?id=1306938053500002&view=mjp_object"">View full-size image on Modernist Journals Project</a>",,,,
1915,10,1,,,,,,,To a Steam Roller,"<i>The Egoist 10.2</i>, p. 158
</i><br/><br/>Other appearances: <i> Observations</i> (1924)
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 190
",http://library.brown.edu/jpegs/1306938275468757.jpg,,"<a href=""http://modjourn.org/render.php?id=1306938053500002&view=mjp_object"">View full-size image on Modernist Journals Project</a>",,,,
1915,12,,,,,,,,To Statecraft Embalmed,"<i>Others 1.6</i>, p. 104
</i><br/><br/>Other appearances: <i> Observations</i> (1924)
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 203
",http://library.brown.edu/jpegs/1308774560587506.jpg,,"<a href=""http://modjourn.org/render.php?id=1308774347400001&view=mjp_object"">View full-size image on Modernist Journals Project</a>",http://library.brown.edu/jpegs/1308774560587506.jpg,,,
1915,12,,,,,,,,To a Friend in the Making,"<i>Others 1.6</i>, p. 105
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 361",http://library.brown.edu/jpegs/1308774581993757.jpg,,"<a href=""http://modjourn.org/render.php?id=1308774347400001&view=mjp_object"">View full-size image on Modernist Journals Project</a>",,,,
1915,12,,,,,,,,Blake,"<i>Others 1.6</i>, p. 105
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 361",http://library.brown.edu/jpegs/1308774581993757.jpg,,"<a href=""http://modjourn.org/render.php?id=1308774347400001&view=mjp_object"">View full-size image on Modernist Journals Project</a>",,,,
1915,12,,,,,,,,George Moore,"<i>Others 1.6</i>, p. 105-6
</i><br/><br/>Other appearances: <i> Observations</i> (1924)
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 193
",http://library.brown.edu/jpegs/1308774581993757.jpg,,"<a href=""http://modjourn.org/render.php?id=1308774347400001&view=mjp_object"">View full-size image on Modernist Journals Project</a>",,,,
1915,12,,,,,,,,"<i>So far as the future is concerned, ""Shall not one say, 
with the Russian philosopher, 'How is one to know 
what one doesn't know?'"" So far as the present is 
concerned</i>","<i>Others 1.6</i>, p. 106
</i><br/><br/>Other appearances: <i> Observations</i> (1924)
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 208
",,,,,,,
1916,1,,,,,,,,Masks,"<i>Contemporary Verse 1.1</i>, p. 6
</i><br/><br/>Other appearances: <i> Observations</i> (1924)
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 186
",,,,,,,
1916,1,,,,,,,,Diogenes,"<i>Contemporary Verse 1.1</i>, p. 6
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 363",,,,,,,
1916,1,,,,,,,,"""Sun!""","<i>Contemporary Verse 1.1</i>, p. 7
</i><br/><br/>Other appearances: <i> Observations</i> (1924)
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 177",,,,,,,
1916,5,1,,,,,,,"""He Wrote the History Book,"" It Said","<i>The Egoist 3.5</i>, p. 71
</i><br/><br/>Other appearances: <i> Observations</i> (1924)
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 213",http://library.brown.edu/jpegs/1308241887500006.jpg,,"<a href=""http://modjourn.org/render.php?id=1308241717546877&view=mjp_object"">View full-size image on Modernist Journals Project</a>",,,,
1916,5,1,,,,,,,"You are Like the Realistic Product of an Idealistic
Search for Gold at the Foot of the Rainbow","<i>The Egoist 3.5</i>, p. 71
</i><br/><br/>Other appearances: <i> Observations</i> (1924)
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 169",http://library.brown.edu/jpegs/1308241887500006.jpg,,"<a href=""http://modjourn.org/render.php?id=1308241717546877&view=mjp_object"">View full-size image on Modernist Journals Project</a>",,,,
1916,,,,,,,,Spring,Is Your Town Nineveh?,"<i>The Lantern 24</i>, p. 19
</i><br/><br/>Other appearances: <i> Observations</i> (1924)
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 183",,,,,,,
1916,,,,,,,,Spring,You Are Fire Eaters,"<i>The Lantern 24</i>, p. 59
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 365",,,,,,,
1916,6,1,,,,,,,Pedantic Literalist,"First pubication: The Egoist 6.3</i>, p. 95
</i><br/><br/>Other appearances: <i> Observations</i> (1924)
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 211",http://library.brown.edu/jpegs/1308242462546881.jpg,,"<a href=""http://modjourn.org/render.php?id=1308242127906252&view=mjp_object"">View full-size image on Modernist Journals Project</a>",,,,
1916,7,,,,,,,,Critics and Connoisseurs,"<i>Others 3.1</i>, p. 4-5
</i><br/><br/>Other appearances: <i> Observations </i>(1924)
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 215",http://library.brown.edu/jpegs/1309192026263631.jpg,,"<a href=""http://modjourn.org/render.php?id=1309191893669877&view=mjp_object"">View full-size image on Modernist Journals Project</a>",,,,
1916,7,,,,,,,,"In This Age of Hard Trying Nonchalance Is 
Good, And","<i>The Chimaera 1.2</i>, p. 52-55
</i><br/><br/>Other appearances: <i> Observations </i>(1924)
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 198",,,,,,,
1916,7,,,,,,,,To Be Liked by You Would Be a Calamity,"<i>The Chimaera 1.2</i>, p. 56
</i><br/><br/>Other appearances: <i> Observations </i>(1924)
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 218",,,,,,,
1916,8,2,,,,,,,"Feed Me, Also, River God","<i>The Egoist 8.3</i>, p. 118
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 367",,,,,,,
1916,,,,,,,,,"Moves to Chatham, New Jersey in late 
summer and commutes regularly to New York.",,,,,,,,#3289C7
1916,10,7,,,,,,,Holes Bored in a Workbag by the Scissors,"<i>Bruno's Weekly 3</i>, p. 1137
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 370",,,,,,,
1916,10,7,,,,,,,Apropos of Mice,"<i>Bruno's Weekly 3</i>, p. 1137
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 370",,,,,,,
1916,12,30,,,,,,,The Just Man And,"<i>Bruno's Weekly 3</i>, p. 1233
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 371",,,,,,,
1916,12,30,,,,,,,"In ""Designing a Cloak to Cloak His Designs,"" You
Wrested from Oblivion, a Coat of Immortality
for Your Own Use","<i>Bruno's Weekly 3</i>, p. 1233 
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 371",,,,,,,
1917,,,,,,,,Spring,Those Various Scalpels,"<i>The Lantern 25</i>, p. 50-51
</i><br/><br/>Other appearances: <i> Observations </i>(1924)
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 261",,,,,,,
1917,,,,,,,,,The Past Is the Present,"<i>Others: An Anthology of
the New Verse (1917)</i>, ed.
Alfred Kreymborg 
(New York: Knopf, 1917), p. 74-75
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 372",,,,,,,
1917,,,,,,,,,Like a Bulrush,"<i>The Egoist 10.2</i>, p. 158
<br/><br/>Other appearances: <i> Observations </i>(1924)
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 190
",,,,,,,
1917,,,,,,,,,French Peacock,"<i>Others: An Anthology of
the New Verse (1917)</i>, ed.
Alfred Kreymborg 
(New York: Knopf, 1917), p. 77
</i><br/><br/>Other appearances: <i> Observations</i> (1924)
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 196",,,,,,,
1917,,,,,,,,,Sojourn in the Whale,"<i>Others: An Anthology of the New Verse (1917)</i>, ed. Alfred Kreymborg (New York: Knopf, 1917), p. 78 
<br/><br/>Other appearances: <i> Observations </i>(1924)
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 223",,,,,,,
1917,,,,,,,,,Roses Only,"<i>Others: An Anthology of the New Verse (1917)</i>, ed. Alfred Kreymborg (New York: Knopf, 1917), p. 80-81
<br/><br/>Other appearances: <i> Observations</i> (1924)
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 228",,,,,,,
1917,,,,,,,,,My Apish Cousins,"<i>Others: An Anthology of the New Verse (1917)</i>, ed. Alfred Kreymborg (New York: Knopf, 1917), p. 83-84 
<br/><br/>Other appearances: <i> Observations </i>(1924)
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 225",,,,,,,
1918,,,,,,,,,"Moves with mother to Greenwich Village, New York City.",,,,,,,,#3289C7
1918,4,,,,,,,,Black Earth,"<i>The Egoist 4.5</i>, p. 55-56
</i><br/><br/>Other appearances: <i> Observations</i> (1924)
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 237",http://library.brown.edu/jpegs/1308747668993757.jpg,,"<a href=""http://modjourn.org/render.php?id=1308747513821877&view=mjp_object"">View full-size image on Modernist Journals Project</a>",,,,
1918,,,,,,,,Spring,An Ardent Platonist,"<i>The Lantern 26</i>, p. 22
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 375",,,,,,,
1918,,,,,,,,June-July,Reinforcements,"<i>The Egoist 6.5</i>, p. 83
</i><br/><br/>Other appearances: <i> Observations</i> (1924)
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 232",http://library.brown.edu/jpegs/1308748360556257.jpg,,"<a hreff=""http://modjourn.org/render.php?id=1308748206915627&view=mjp_object"">View full-size image on Modernist Journals Project</a>",,,,
